strategy,pot_size,date,cash,deployed,n_open,portfolio_value,realized_pnl_cum,interest_cum,n_candidates,n_admitted,n_rejected_cash,n_rejected_kelly,n_rejected_concentration,n_rejected_vix,n_rejected_correlation,max_drawdown
optimised_new,100000.0,2000-04-12 00:00:00,100000.0,0.0,0,100000.0,0.0,0.0,,,,,,,,
optimised_new,100000.0,2000-04-13 00:00:00,100012.32876712328,0.0,0,100012.32876712328,0.0,12.32876712328767,,,,,,,,
optimised_new,100000.0,2000-04-14 00:00:00,100026.02908613248,0.0,0,100026.02908613248,0.0,26.02908613248264,,,,,,,,
optimised_new,100000.0,2000-04-16 00:00:00,100053.43347766293,0.0,0,100053.43347766293,0.0,53.43347766292989,,,,,,,,
optimised_new,100000.0,2000-04-17 00:00:00,100067.13942745439,0.0,0,100067.13942745439,0.0,67.13942745439056,,,,,,,,
optimised_new,100000.0,2000-04-18 00:00:00,100080.84725477321,0.0,0,100080.84725477321,0.0,80.84725477321993,,,,,,,,
optimised_new,100000.0,2000-04-19 00:00:00,100094.5569598766,0.0,0,100094.5569598766,0.0,94.55695987661352,,,,,,,,
optimised_new,100000.0,2000-04-23 00:00:00,100149.40329245735,0.0,0,100149.40329245735,0.0,149.40329245736783,,,,,,,,
optimised_new,100000.0,2000-04-24 00:00:00,100163.12238879879,0.0,0,100163.12238879879,0.0,163.12238879880033,,,,,,,,
optimised_new,100000.0,2000-04-25 00:00:00,100176.84336446848,0.0,0,100176.84336446848,0.0,176.8433644684988,,,,,,,,
optimised_new,100000.0,2000-04-26 00:00:00,100190.56621972389,0.0,0,100190.56621972389,0.0,190.56621972390545,,,,,,,,
optimised_new,100000.0,2000-04-27 00:00:00,100204.29095482247,0.0,0,100204.29095482247,0.0,204.29095482249775,,,,,,,,
optimised_new,100000.0,2000-04-30 00:00:00,100245.47080042034,0.0,0,100245.47080042034,0.0,245.47080042037,,,,,,,,
optimised_new,100000.0,2000-05-01 00:00:00,100259.20305669437,0.0,0,100259.20305669437,0.0,259.2030566944002,,,,,,,,
optimised_new,100000.0,2000-05-02 00:00:00,100272.9371940994,0.0,0,100272.9371940994,0.0,272.9371940994268,,,,,,,,
optimised_new,100000.0,2000-05-03 00:00:00,100286.67321289312,0.0,0,100286.67321289312,0.0,286.67321289313907,,,,,,,,
optimised_new,100000.0,2000-05-04 00:00:00,100300.41111333323,0.0,0,100300.41111333323,0.0,300.4111133332614,,,,,,,,
optimised_new,100000.0,2000-05-07 00:00:00,100341.63046036611,0.0,0,100341.63046036611,0.0,341.6304603661381,,,,,,,,
optimised_new,100000.0,2000-05-08 00:00:00,100355.3758891963,0.0,0,100355.3758891963,0.0,355.37588919632526,,,,,,,,
optimised_new,100000.0,2000-05-09 00:00:00,100369.12320096194,0.0,0,100369.12320096194,0.0,369.12320096196856,,,,,,,,
optimised_new,100000.0,2000-05-10 00:00:00,100382.87239592097,0.0,0,100382.87239592097,0.0,382.87239592100445,,,,,,,,
optimised_new,100000.0,2000-05-11 00:00:00,100396.62347433137,0.0,0,100396.62347433137,0.0,396.62347433140457,,,,,,,,
optimised_new,100000.0,2000-05-14 00:00:00,100437.88236069068,0.0,0,100437.88236069068,0.0,437.8823606907188,,,,,,,,
optimised_new,100000.0,2000-05-15 00:00:00,100451.64097471269,0.0,0,100451.64097471269,0.0,451.64097471273124,,,,,,,,
optimised_new,100000.0,2000-05-17 00:00:00,100479.16197224,0.0,0,100479.16197224,0.0,479.1619722400498,,,,,,,,
optimised_new,100000.0,2000-05-18 00:00:00,100492.92624100333,0.0,0,100492.92624100333,0.0,492.92624100337036,,,,,,,,
optimised_new,100000.0,2000-05-21 00:00:00,100534.22470384209,0.0,0,100534.22470384209,0.0,534.2247038421389,,,,,,,,
optimised_new,100000.0,2000-05-22 00:00:00,100547.99651544535,0.0,0,100547.99651544535,0.0,547.996515445405,,,,,,,,
optimised_new,100000.0,2000-05-23 00:00:00,100561.77021359815,0.0,0,100561.77021359815,0.0,561.7702135982057,,,,,,,,
optimised_new,100000.0,2000-05-24 00:00:00,100575.54579855892,0.0,0,100575.54579855892,0.0,575.5457985589726,,,,,,,,
optimised_new,100000.0,2000-05-25 00:00:00,100589.32327058612,0.0,0,100589.32327058612,0.0,589.3232705861725,,,,,,,,
optimised_new,100000.0,2000-05-29 00:00:00,100644.44070799465,0.0,0,100644.44070799465,0.0,644.4407079947129,,,,,,,,
optimised_new,100000.0,2000-05-30 00:00:00,100658.22761768068,0.0,0,100658.22761768068,0.0,658.2276176807395,,,,,,,,
optimised_new,100000.0,2000-05-31 00:00:00,100672.01641598447,0.0,0,100672.01641598447,0.0,672.0164159845314,,,,,,,,
optimised_new,100000.0,2000-06-01 00:00:00,100685.80710316474,0.0,0,100685.80710316474,0.0,685.8071031648033,,,,,,,,
optimised_new,100000.0,2000-06-02 00:00:00,100699.59967948025,0.0,0,100699.59967948025,0.0,699.5996794803053,,,,,,,,
optimised_new,100000.0,2000-06-04 00:00:00,100727.18861089929,0.0,0,100727.18861089929,0.0,727.188610899341,,,,,,,,
optimised_new,100000.0,2000-06-05 00:00:00,100740.98685591448,0.0,0,100740.98685591448,0.0,740.9868559145327,,,,,,,,
optimised_new,100000.0,2000-06-06 00:00:00,100754.78699110022,0.0,0,100754.78699110022,0.0,754.7869911002745,,,,,,,,
optimised_new,100000.0,2000-06-07 00:00:00,100768.58901671544,0.0,0,100768.58901671544,0.0,768.5890167154937,,,,,,,,
optimised_new,100000.0,2000-06-08 00:00:00,100782.3929330191,0.0,0,100782.3929330191,0.0,782.3929330191534,,,,,,,,
optimised_new,100000.0,2000-06-09 00:00:00,100796.1987402702,0.0,0,100796.1987402702,0.0,796.1987402702518,,,,,,,,
optimised_new,100000.0,2000-06-11 00:00:00,100823.81413718536,0.0,0,100823.81413718536,0.0,823.8141371853943,,,,,,,,
optimised_new,100000.0,2000-06-12 00:00:00,100837.625618574,0.0,0,100837.625618574,0.0,837.6256185740499,,,,,,,,
optimised_new,100000.0,2000-06-13 00:00:00,100851.43899194642,0.0,0,100851.43899194642,0.0,851.4389919464573,,,,,,,,
optimised_new,100000.0,2000-06-14 00:00:00,100865.25425756176,0.0,0,100865.25425756176,0.0,865.2542575617924,,,,,,,,
optimised_new,100000.0,2000-06-15 00:00:00,100879.07141567922,0.0,0,100879.07141567922,0.0,879.0714156792667,,,,,,,,
optimised_new,100000.0,2000-06-16 00:00:00,100892.89046655808,0.0,0,100892.89046655808,0.0,892.8904665581268,,,,,,,,
optimised_new,100000.0,2000-06-18 00:00:00,100920.53235435713,0.0,0,100920.53235435713,0.0,920.5323543571839,,,,,,,,
optimised_new,100000.0,2000-06-19 00:00:00,100934.35708481663,0.0,0,100934.35708481663,0.0,934.3570848166848,,,,,,,,
optimised_new,100000.0,2000-06-20 00:00:00,100948.18370907482,0.0,0,100948.18370907482,0.0,948.183709074879,,,,,,,,
optimised_new,100000.0,2000-06-21 00:00:00,100962.01222739113,0.0,0,100962.01222739113,0.0,962.0122273911905,,,,,,,,
optimised_new,100000.0,2000-06-22 00:00:00,100975.84264002502,0.0,0,100975.84264002502,0.0,975.8426400250797,,,,,,,,
optimised_new,100000.0,2000-06-25 00:00:00,101017.33956165791,0.0,0,101017.33956165791,0.0,1017.3395616579667,,,,,,,,
optimised_new,100000.0,2000-06-26 00:00:00,101031.17755337869,0.0,0,101031.17755337869,0.0,1031.1775533787418,,,,,,,,
optimised_new,100000.0,2000-06-27 00:00:00,101045.01744071477,0.0,0,101045.01744071477,0.0,1045.017440714821,,,,,,,,
optimised_new,100000.0,2000-06-28 00:00:00,101058.85922392583,0.0,0,101058.85922392583,0.0,1058.8592239258778,,,,,,,,
optimised_new,100000.0,2000-06-29 00:00:00,90894.58840390157,9863.53862,1,100758.12702390156,-595.9547782619987,1072.7029032716212,,,,,,,,
optimised_new,100000.0,2000-07-02 00:00:00,73542.61937123153,27232.160482,3,100774.77985323154,-308.67185947199835,1106.3214496675848,,,,,,,,
optimised_new,100000.0,2000-07-03 00:00:00,91224.55676736617,10114.71604,1,101339.27280736617,-308.67185947199835,1115.3883479462297,,,,,,,,
optimised_new,100000.0,2000-07-04 00:00:00,82052.97327893927,18964.48962,2,101017.46289893927,-580.6544713619968,1126.6352111093297,,,,,,,,
optimised_new,100000.0,2000-07-05 00:00:00,90973.93713863257,9860.7613,1,100834.69843863256,-580.6544713619968,1136.7513311026237,,,,,,,,
optimised_new,100000.0,2000-07-06 00:00:00,90985.15310348527,9843.020460000002,1,100828.17356348527,-580.6544713619968,1147.9672959553318,,,,,,,,
optimised_new,100000.0,2000-07-09 00:00:00,73665.78224435696,25927.73178,3,99593.51402435696,-1391.485166700997,1181.6193388840181,,,,,,,,
optimised_new,100000.0,2000-07-10 00:00:00,90217.05653381743,10023.687960000001,1,100240.74449381743,-1391.485166700997,1190.7014216264731,,,,,,,,
optimised_new,100000.0,2000-07-11 00:00:00,99810.33890573098,0.0,0,99810.33890573098,-1391.485166700997,1201.8240724320121,,,,,,,,
optimised_new,100000.0,2000-07-12 00:00:00,99822.64428997964,0.0,0,99822.64428997964,-1391.485166700997,1214.129456680664,,,,,,,,
optimised_new,100000.0,2000-07-13 00:00:00,99834.95119133046,0.0,0,99834.95119133046,-1391.485166700997,1226.4363580314832,,,,,,,,
optimised_new,100000.0,2000-07-16 00:00:00,89874.83639425054,9626.17394,1,99501.01033425055,-1614.4300987009967,1263.3616139515643,,,,,,,,
optimised_new,100000.0,2000-07-17 00:00:00,72751.75902198002,26909.90374,3,99661.66276198003,-2185.3104827569973,1274.4420732330473,,,,,,,,
optimised_new,100000.0,2000-07-18 00:00:00,99098.10098542392,0.0,0,99098.10098542392,-2185.3104827569973,1283.4114681809626,,,,,,,,
optimised_new,100000.0,2000-07-19 00:00:00,80262.30537551802,18601.456960000003,2,98863.76233551803,-2641.0810200569977,1295.629042275056,,,,,,,,
optimised_new,100000.0,2000-07-20 00:00:00,98664.44337493555,0.0,0,98664.44337493555,-2641.0810200569977,1305.5243949925857,,,,,,,,
